Name,Role,Highest Gold Storage Level,Stars in Campaign Map,Current Town Hall Level,Total Obstacles Removed,Unlock Dragon in the Barracks,Total Gold Looted,Total Elixir Looted,Trophy Record,Current Clan Castle Level,Total Wall Destroyed,Total Town Halls Destroyed,Total Builder's Huts Destroyed,Total Multiplayer Battles Won,Total Defenses Won,Total Capacity Donated,Total Mortars Destroyed,Total Dark Elixir Looted,League All-Star,Total X-Bows Destroyed,Total Inferno Towers Destroyed,Total Stars scored for clan in Clan War battles,Total gold collected in Clan War bonuses,Total Eagle Artilleries Destroyed,Total Spell Capacity Donated,Village Connected to Social Network,Current Builder Hall Level,Unlock Power P.E.K.K.A,Total Builder Halls destroyed,Builder Trophy record,Total buildings geared up,Rebuild Battle Machine,Total Clan Games points,Slay the Giant Dragon,Total Stars scored for the clan in Clan War League battles,Connect account to Supercell ID,Total Season Challenges points,Total Scattershots Destroyed,Weaponized Town Halls Destroyed,Total Weaponized Builder's Huts Destroyed,Total Times Super Troops boosted,Total Siege Machines Donated,Total Capital Gold Looted,Total Capital Gold Contributed,Total Spell Towers Destroyed,Total Monoliths Destroyed,Defeat M.O.M.M.A,Attack Wins in Season,Best Builder Base Trophies,Best Trophies,Builder Base League,Builder Base Trophies,Builder Hall Level,Clan Capital Contributions,Defense Wins,Donations,Donations Received,Experience Level,Trophies,War Stars
LEO™,member,15,135,14,2824,1,781683819,807661983,3489,10,29109,1628,6946,2109,1016,84078,6298,5286139,16,2819,1189,1346,756319922,448,902,0,7,1,376,2626,2,1,17045,0,362,0,70730,270,303,102,39,155,837105,1082393,3,1,0,11,2626,3489,Brass League I,2594,7,1082393,5,122,936,188,3418,1346
Ganesha Emperor,member,14,199,13,5236,1,785494142,800646834,4069,9,21314,1336,6248,1707,325,23858,5312,6531870,18,3396,1898,764,861719119,570,1145,0,9,1,1739,3361,3,1,70360,5,339,0,105340,253,414,16,17,85,753560,927025,0,0,0,2,3361,4069,Iron League I,3100,9,927025,4,144,0,170,3315,764
TheBoogeyman,admin,17,161,16,3322,1,327919880,372393322,3277,11,8882,816,3862,1235,625,166214,3264,1960918,15,1067,590,561,552665086,186,7109,0,8,1,595,2778,3,1,38600,0,380,0,75900,71,77,17,51,2931,912015,1191003,1,1,0,0,2778,3277,Iron League III,2699,8,1191003,0,2956,251,203,3255,561
shark,member,14,169,13,5026,1,935584937,980523977,5004,9,28605,2048,8853,2531,1685,91589,7062,8238949,22,4663,2500,750,761295956,920,4236,0,9,1,999,3151,3,1,69835,0,265,0,76910,236,495,31,58,270,376145,500558,2,0,0,20,3151,5004,Iron League III,2633,9,500558,4,194,841,190,3215,750
Nandan,admin,16,205,15,4848,1,2000000000,2000000000,5380,11,82279,4826,20810,6119,1566,82865,16578,24759989,22,10967,6745,1250,1419207056,2404,1493,0,9,1,1970,3792,3,1,70435,4,506,0,107810,2890,1287,4464,172,83,342780,488602,151,78,0,0,3792,5380,Steel League II,3470,9,488602,0,0,0,216,3204,1250
srinivas.m,member,14,203,13,4191,1,785157131,792344174,3376,9,25311,1575,7665,2244,456,17726,6496,5776454,16,2751,1347,771,592630289,515,394,0,9,1,2904,3820,3,1,111855,0,242,0,88810,105,223,9,3,14,1124515,1340408,0,0,0,11,3820,3376,Steel League I,3627,9,1340408,1,0,0,178,3165,771
Lt.Rocky,member,13,215,12,2068,1,455761352,498225536,3140,8,20692,747,3782,997,139,949,3211,4702420,15,2188,1118,115,310541760,478,371,0,8,1,3397,3374,3,1,110200,0,39,0,83690,14,151,3,1,8,1319440,1586771,0,0,0,24,3374,3140,Iron League I,3096,8,1586771,4,107,0,154,3148,115
aniruddha,member,13,109,12,3445,1,532811957,584400906,3271,8,29627,1175,5981,1639,562,14919,5090,5378220,16,2719,1407,460,423088657,464,615,0,9,1,1319,3556,3,1,38370,0,198,0,63170,7,117,0,5,4,209440,300005,0,0,0,34,3556,3271,Iron League I,3118,9,300005,3,33,534,163,3038,460
Kiran,member,14,213,14,4425,1,1006918883,951007770,3227,9,16309,2080,7302,2478,823,47326,4522,6580836,16,2344,1146,653,514693233,348,1515,0,9,1,725,3365,3,1,21925,15,205,0,64530,65,169,32,10,22,300095,471833,0,0,0,0,3365,3227,Steel League III,3300,9,471833,0,0,0,190,3012,653
RG⚡,coLeader,15,190,14,4842,1,1959021537,2000000000,5027,10,61019,3776,19036,5866,840,301019,15221,14926444,22,8205,4708,1519,1237891397,2022,11197,0,9,1,3962,4906,3,1,104685,18,430,0,129930,1045,1049,700,42,2528,526590,721750,41,21,0,68,4906,5027,Steel League II,3508,9,721750,7,6312,934,228,2948,1519
